Date,Open,High,Low,Close,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,APO,CCI,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MINUS_DM,MOM,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,TRIX,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ADX,ADXR,AROON_down,AROON_up,AROONOSC,CMO,DX,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,ULTOSC,WILLR,BOP,HT_TRENDMODE,CORREL,PATTERN_SUM,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE
2015-01-27,-1.8800298707095737,-1.91607637746978,-1.9095225750701115,-1.8644374861567246,-1.286688140388838,-1.557787718685905,-1.8147810309326753,-1.6535417773689365,-1.6146571567671777,-1.4896596520223897,-1.5729877083308876,-1.4781783278856209,-1.8021428035539928,-1.5936353630950248,-1.902061487319308,-1.5904454153392467,-1.6025395512122553,-1.3999927321183747,-1.0113776005614956,-1.4781783278856209,-1.8614205256455216,-1.7851651589497366,-1.4188733851221649,-1.58466210828731,-2.360459551337,-1.121283773936822,-1.623005503656442,-0.9741420422849784,-2.374319227668053,-2.360459551337,-1.3309091037068435,-2.4857148023821916,-1.6150794127166732,-0.9631977839565661,-2.3885680773581472,1.8839432730476195,-1.3784530791202558,1.2957727659188156,-2.598739929439934,-1.5170421138892138,-1.5170421138892094,-1.5170421138892047,-1.5170421138892123,0.7964203448143523,1.2941400657934907,1.677822870129688,-0.6186159155242246,0.7400726536570232,-1.4318118523498935,-1.2759262607321433,-2.0169162847454096,-0.6359741599021498,0.5268349713595528,-1.8937847769348248,-1.9137163190520914,-1.8979808889865248,-1.889850114114565,-0.45698051069211604,-1.9390521790821753,-2.4317262592882996,-1.3766456619880518,-2.4467702555557125,-0.3584453603251956,-1.9782332837310381,-0.38345758838029914,0.14750641560101724,0.14338197697776614,0.9285714285714286,0.0,-0.9285714285714286,-0.2144620666275664,0.003741172703967466,0.29480647992658787,0.29260885769956907,0.3927689666862168,0.07238486154681834,0.05659970901591293,0.12841523240859165,0.07238486154681834,0.18016803983428367,0.06732950829818457,0.3593758313627291,-0.8715847675914083,0.2415670138442415,1,0.898090186216906,-1.0,-0.4420013427734375,-0.791805586708159
2015-01-28,-2.0230269784836605,-1.9402148328353381,-1.994578440514464,-1.9363705713597907,-1.3225544971225502,-1.5933023757054277,-1.8495218639726374,-1.6900503843407324,-1.6352497689500218,-1.512882575050679,-1.5782087033260812,-1.4891641249835987,-1.808178795271845,-1.5989369236464825,-1.9010027110517322,-1.6443762164448863,-1.7081446113712127,-1.409972498931642,-1.0108007356878022,-1.4891641249835987,-1.8906693577544553,-1.828300905309623,-1.441477520764376,-1.6134670988768003,-2.4004681325718273,-1.2188976858782503,-1.7494486849522721,-1.149362482966967,-2.242685139410148,-2.4004681325718273,-1.5922299134364615,-2.0045449367702535,-1.7426348197285622,-1.1390414950910555,-2.2581075318384722,2.137688860612101,-1.4014700872421513,1.0470368049123853,-2.646175857431658,-1.5485036714008908,-1.5485036714008917,-1.5485036714008718,-1.5485036714008935,0.6834312557335259,1.2895771124828468,1.693428773867628,0.5860765640328646,0.8516058244960047,-1.3858623333746676,-2.3784941059487896,-0.757690516200947,-0.5112076095806389,0.6240037776318029,-1.9748886915993582,-1.9683540399689303,-1.958414794981632,-1.9531716647118817,-0.4542061084600087,-1.9453198274473422,-2.07030900636589,-1.468123101868979,-2.0712967800078217,-0.2538802995329215,-1.9779214564906866,-0.3325172223217142,0.1418835536885909,0.14300062720027845,1.0,0.0,-1.0,-0.26230376301995817,0.06878634882704833,0.31218225821111406,0.271998590568854,0.3688481184900209,0.09566344435646157,0.07189299048482996,0.13665005642157402,0.09566344435646157,0.09147498632816635,0.0905476753874832,0.2804356888693152,-0.863349943578426,0.7150695525850987,1,0.9257924243360262,1.0,0.2080001831054687,0.341239134541759
2015-01-29,-1.8038095618170449,-1.839748886847659,-1.8039361978190729,-1.90251978077238,-1.3340547197416723,-1.6163603248327327,-1.8840448553444182,-1.7187763659884876,-1.6523041510302043,-1.5325547887976207,-1.5915472176471048,-1.512200972979177,-1.8122237905245528,-1.6042077586842598,-1.9200600625205635,-1.7506044398672052,-1.7321120890200299,-1.432187284196354,-1.0095166446328072,-1.512200972979177,-1.9113184109771413,-1.8592020948180863,-1.467942975337881,-1.6393670475637163,-2.4414401547079274,-0.5576654987795885,-1.7918234272597824,-1.298515167152415,-1.9103199074782464,-2.4414401547079274,-1.8141923475613337,-1.6118428869577133,-1.7870436634040079,-1.2891203219919904,-1.9284900775514553,1.8060380124771902,-1.3496927913907177,1.351138408965303,-2.694772341706321,-1.4891288818192463,-1.489128881819253,-1.4891288818192372,-1.4891288818192543,0.5688092926885311,1.2421554998202164,1.6336255826526351,0.3026058801795522,1.0092928642253711,-1.3591159227104606,-2.005816139762682,0.5424106929190609,-0.43705659504280364,0.6787801826580796,-1.838765269260506,-1.8227088233526216,-1.850047318476386,-1.8634461090556655,-0.36688160152954385,-1.9386018763753643,-1.6777009228442499,-1.552462929328943,-1.6702674440912602,-0.4164879899689297,-1.964201234688032,-0.4099272634321862,0.13268466515072222,0.142311946360883,0.9285714285714286,0.0,-0.9285714285714286,-0.2245094579180816,0.013099114158429579,0.2931735565302571,0.3009561291073359,0.3877452710409592,0.15734699387657472,0.1084650999266183,0.20697569279955702,0.15734699387657472,0.2970685806874967,0.18957053561664877,0.3052239000860742,-0.793024307200443,-3.5000867001907405,1,0.9212906930450636,-1.0,0.4759979248046875,0.8083971556381108
2015-01-30,-1.8539719959148178,-1.7919622359966432,-1.8254450634127346,-1.8250539543868476,-1.364234350234137,-1.6392139818054237,-1.8991916426433644,-1.7350136169853723,-1.663201521837402,-1.5494486594343175,-1.6013349950623557,-1.5366253725024777,-1.812194737580125,-1.6107277387416328,-1.8643543883907605,-1.7506044398672052,-1.7321120890200299,-1.4535134780504808,-1.008283917220012,-1.5366253725024777,-1.9142192329457066,-1.8714573926465268,-1.496233892697037,-1.658754532132245,-2.389071515046804,-0.30872883164812615,-1.7180536148091974,-1.402210498489455,-1.3307363278757474,-2.389071515046804,-2.015772187469842,-1.0501726017082098,-1.7164301485317415,-1.3942305180176886,-1.3531936586929447,1.4980765106376288,-1.2280681867738477,1.3529542686297067,-2.6394882295908664,-1.3505049471827615,-1.350504947182762,-1.3505049471827524,-1.3505049471827606,0.4575069494258728,1.2243387604247977,1.593224220389519,0.4747025990945844,1.1934052989455486,-1.3022965205060644,-1.5803382369603476,0.5938026784486193,-0.27666700099753366,0.790154660563087,-1.8253569344581801,-1.8095799425092147,-1.8154288359796713,-1.8180947884302048,-0.14582619741660932,-1.9373112896196725,-1.5537725875422945,-1.5796309538696445,-1.5449194720634805,-0.4300225504164378,-1.960720469236665,-0.41591410664073936,0.12680488708239554,0.1430034805112914,0.8571428571428572,0.6428571428571429,-0.2142857142857143,-0.14036375934858994,0.050367772194148126,0.2733966455087652,0.3023981464191682,0.42981812032570504,0.22851990862406757,0.16051011561903475,0.34193397665107045,0.22851990862406757,0.6530766147483689,0.3472067272546772,0.3379472344190679,-0.6580660233489296,0.2795338563485414,1,0.9356917591004952,1.0,0.9080047607421876,1.561446257085995
2015-02-02,-1.7171641148992374,-1.7335740263171033,-1.7540762058395019,-1.6772815892410313,-1.399000267124708,-1.6551853129682779,-1.8958917506609958,-1.7311992441371464,-1.6637497154085539,-1.5608693492377368,-1.6016864607905275,-1.5468354127644144,-1.8030992226732812,-1.6165652211401966,-1.7516394529190826,-1.7506044398672052,-1.7321120890200299,-1.4739866241504402,-1.0071004989037284,-1.5468354127644144,-1.886765068275355,-1.8546841901181508,-1.5235858658564114,-1.6669770522626766,-2.288810080264342,0.28417138434169376,-1.4738578065263155,-1.4334382469747735,-0.4067709308055042,-2.288810080264342,-2.1703695237449203,-0.48185631786873867,-1.4769478961987972,-1.4276067691348744,-0.4354810040435798,1.2121122589294657,-0.6470376431486949,1.411103174282292,-2.53005737775767,-0.7091044370813925,-0.7091044370813911,-0.7091044370813834,-0.7091044370813925,0.35674274265624967,1.1713992016859933,1.4974753755991252,0.23579694836844775,1.311522647892306,-1.2604342268650763,-1.4681441045754002,0.7448978280695141,-0.15674610817489007,0.8673572443878361,-1.7216744561060642,-1.7446672018251068,-1.7228215343378908,-1.7116624058746241,1.5978383516602443,-1.8881965930973743,-1.0816275499799777,-1.6381209840424775,-1.0716693170344609,0.7960905306272137,-1.9034193174675351,0.4110317023742794,0.12455608796409026,0.1437871720283732,0.7857142857142857,0.5714285714285715,-0.2142857142857143,0.000705111998470908,0.09532169942612188,0.2571410038595516,0.3113284812523064,0.5003525559992354,0.38276251682742446,0.256209806442689,0.5993778810316446,0.38276251682742446,1.0,0.6500483984786217,0.3913404549958547,-0.4006221189683554,0.4529785613870665,1,0.935828938105378,0.0,-0.63800048828125,-1.1334598572682772
2015-02-03,-1.8083697830986583,-1.8443155207561874,-1.8006779191968916,-1.7811123676616665,-1.4900985990387772,-1.686171743334595,-1.8654776131356752,-1.7404970522155487,-1.671040292396965,-1.5726657045161783,-1.6046219476885073,-1.5595638182045068,-1.8013398144683812,-1.6211213964543902,-1.7296499622444432,-1.7506044398672052,-1.7321120890200299,-1.4936408444064038,-1.0059644173200963,-1.5595638182045068,-1.8534105184724976,-1.8579204508094536,-1.55052453795863,-1.6812804099630794,-2.2607886521345426,-0.2078900270476689,-1.386180020074421,-1.4398474740873686,-0.09033351075569669,-2.2607886521345426,-2.2928175147071985,-0.1493478461934253,-1.3909125292503342,-1.436089228264703,-0.11700767934153429,1.2573795809588553,0.14272600246120967,1.1541293269641841,-2.5016013708587876,0.16354353887895864,0.16354353887894948,0.1635435388789678,0.16354353887894482,0.26093505329123706,1.1632653363941987,1.5169748318940404,0.5050871468107561,1.3449280301550308,-1.185265757896,-1.1373956202569726,1.1512334063187364,0.06010096284939255,0.994231082705346,-1.809828924818246,-1.8233614722012985,-1.8099395185627476,-1.8029771634271514,0.6415523726083834,-1.873432806254664,-0.8859830972818087,-1.6675651219948036,-0.8771550025252983,0.8445926454224146,-1.8852806320333555,0.4555773700459131,0.11940624039193212,0.14113975391382624,0.7142857142857143,0.5,-0.2142857142857143,-0.08494943942065993,0.05245822195387634,0.2607866310175295,0.2896621978568743,0.45752528028967004,0.45326644905481656,0.3548496248354363,0.41848748948173337,0.45326644905481656,0.7100676109944618,0.7877147419142767,0.4770599888083325,-0.5815125105182666,1.2344280860702153,1,0.936225437334478,0.0,-0.2860031127929687,-0.5198785773604463
2015-02-04,-1.9775862993913755,-1.7741847159282016,-1.9491166895746808,-1.8276576703338014,-1.5464546008441657,-1.7106682808975044,-1.857336957648444,-1.7545445539930946,-1.6808988423807463,-1.5861107920053188,-1.6095614884361986,-1.5748379297395507,-1.8019910456174344,-1.6255800590298453,-1.8049019883844952,-1.7506044398672052,-1.7321120890200299,-1.5125088958521258,-1.0048737789998095,-1.5748379297395507,-1.829773948842444,-1.8683773957343799,-1.5772208169206414,-1.6977843232857404,-2.2687047382707113,-0.4418452976120147,-1.3567256393168252,-1.4387354717592922,0.0055625502572042955,-2.2687047382707113,-2.360236313349309,-0.019703113083303712,-1.36193899803392,-1.4367398641666467,-0.016812948738431168,1.978605784752009,-0.18107333026530906,0.9155107544545141,-2.5135200352688325,-0.19823516195763244,-0.19823516195763624,-0.19823516195761345,-0.19823516195762217,0.16807789682991628,1.3238125340054596,1.6986851239340495,1.6085235459003797,1.343668077748404,-1.1117699527532028,-0.7323653009444576,1.180114396673399,0.27096998378661025,1.1019332982824468,-1.8834329778012258,-1.862585730222933,-1.8516233359627297,-1.845884060243792,-0.004868861654115063,-1.8642961207661954,-0.695199094759517,-1.7013712930227007,-0.688124317802248,0.3707256259374755,-1.8728544688019242,0.058948079818526754,0.11602730688832284,0.13553424667684852,0.6428571428571429,0.4285714285714286,-0.2142857142857143,-0.12126049787204823,0.07210117134140236,0.29904626977037435,0.2588232256919068,0.4393697510639759,0.4517544144272768,0.42926112676983935,0.33739787276845107,0.4517544144272768,0.5871581829523296,0.765741931315597,0.5288323581120558,-0.662602127231549,0.620149160711318,1,0.9322827650828964,1.0,0.5579986572265625,0.9513360462562561
2015-02-05,-1.6104872436542041,-1.64615471698636,-1.7685787157236559,-1.7368467132864398,-1.6430399499007635,-1.7351811568439708,-1.8083805855884778,-1.7558195189486185,-1.6841934996404004,-1.6003906454617236,-1.6110792671028142,-1.5870637791204893,-1.7980781346289725,-1.6298287661334097,-1.7827503259928148,-1.7506044398672052,-1.7321120890200299,-1.5306222252400195,-1.0038267662123341,-1.5870637791204893,-1.8065374355504429,-1.8603855804586664,-1.6029890503093103,-1.707409952040419,-1.9902651692138231,0.8394690564539146,-1.2164014536415102,-1.4081206996863862,0.38172437723203423,-1.9902651692138231,-2.3751652758558444,0.650318863361083,-1.2233726997443108,-1.4079180688799755,0.3602362028113706,1.658318013464247,0.37283338412112954,1.3758102270470827,-2.206301412158651,0.4207607488898698,0.42076074888986803,0.42076074888987897,0.4207607488898869,0.08273231333485791,1.4340304196995883,1.7884708628330723,1.3534292800209395,1.334788790226455,-1.0392186084790884,-0.4796172457868767,1.792739383628592,0.4746143887006133,1.190660022377915,-1.6916787406543072,-1.7082153015438866,-1.718419797522562,-1.7232758282612466,0.06407640738106832,-1.819271694492757,-0.20824988284671234,-1.7656161222507978,-0.20747647099968047,-0.07772678542685527,-1.8195065554168854,-0.23723605532516995,0.11016772155327793,0.13618556690382155,0.5714285714285715,0.35714285714285715,-0.2142857142857143,-0.03496895808123805,0.03399311219769363,0.27067388668827325,0.28972353926396643,0.482515520959381,0.41716364800526123,0.44072817049578494,0.4956055817655979,0.41716364800526123,0.8792467161126142,0.7254908366864684,0.49086178134422537,-0.5043944182344021,-0.6849922441398318,1,0.9290598993629584,-1.0,-0.3610000610351562,-0.6506088801866807
2015-02-06,-1.853646443332858,-1.8421952089904827,-1.8251193598648454,-1.79559732247195,-1.7268389905080244,-1.757250134884534,-1.7675105652533256,-1.7641151451482124,-1.6911106556709892,-1.6170289582330635,-1.6142957150653805,-1.6012617171604795,-1.790222770608402,-1.6692764464397072,-1.7667065102621045,-1.8055975606126866,-1.7321120890200299,-1.5480110214523948,-1.002821633936358,-1.6012617171604795,-1.790966454908077,-1.8632461902048048,-1.6283970991590822,-1.72006068162439,-1.838513134387117,-0.023055503526030134,-1.1615697089929928,-1.3720137571316011,0.45174983248214123,-1.838513134387117,-2.3425487914946004,0.9261677092659577,-1.168735424054546,-1.3732908384563847,0.4345067771913522,1.7380002197693134,0.04656995872451949,1.1213573045314904,-2.038897874870503,0.05603168143821915,0.05603168143821057,0.05603168143822832,0.056031681438218815,0.0017985823150071265,1.3405118229181627,1.7071599502154495,0.0677473832417414,1.3002276365121859,-0.972201189939602,0.6099510243182442,2.4335378685566154,0.6559127320478115,1.2558534713968696,-1.8303699017065211,-1.8345336508244152,-1.8222221720744636,-1.8158129531565554,-0.18858864370976472,-1.7807749041458663,0.2792284376967528,-1.836355596801108,0.27312970830125094,-0.2023037750666436,-1.7726748278295343,-0.30584945730135915,0.10319326240897779,0.13602365644798875,0.5,0.28571428571428575,-0.2142857142857143,-0.08407988147141009,0.012525293533076139,0.28188963513252885,0.2749154875304545,0.457960059264295,0.4087519188851471,0.4258899937725618,0.3932523021213911,0.4087519188851471,0.7130109807212043,0.7264719599287158,0.471449251832896,-0.6067476978786089,1.1924387813958366,1,0.9286523545130052,0.0,-0.055999755859375,-0.11895015016792453
2015-02-09,-1.626936347012795,-1.6626269512318999,-1.6000967457177027,-1.804710949105544,-1.7417382524204532,-1.7653748014466275,-1.7686610485469156,-1.772597243533665,-1.69817645281271,-1.638705655303416,-1.6183765550876412,-1.6175737832565695,-1.7902847837995017,-1.6722365833495652,-1.80066750466176,-1.8055975606126866,-1.7321120890200299,-1.5593221293478121,-1.0021678129654366,-1.6175737832565695,-1.7840168267351504,-1.8666815080457306,-1.6538432828118386,-1.7323878444094551,-1.6458200507130858,1.1939679592297638,-1.1176726549375056,-1.333829396917926,0.4782370141507387,-1.6458200507130858,-2.259626167299489,1.1854666735703974,-1.1247672457852818,-1.336278509855384,0.4650200130489611,1.4348985602660298,0.5815727560617848,1.8414406179168716,-1.8258695639380544,0.6593265783320497,0.6593265783320373,0.6593265783320588,0.6593265783320429,-0.07504566965578319,1.3576211107818608,1.7277343698296748,0.7500789753712453,1.2854631317158287,-0.8770851779905207,1.8223176920099124,1.1975748178611747,0.897067014433781,1.3189994950334034,-1.6747648734888883,-1.6321303822366622,-1.6903765545150566,-1.7192415808026367,0.11237690569777299,-1.7752362835720539,0.3137206975830708,-1.838566771171032,0.30718185210972077,-0.7811188936271627,-1.766550900901654,-0.5467119265589806,0.10456430644977824,0.13776283762753613,0.4285714285714286,0.2142857142857143,-0.2142857142857143,-0.09180102041474437,0.12238787898018408,0.26070894589394444,0.3334235635590735,0.4540994897926278,0.4220775802831266,0.4159977157245118,0.3773748569623895,0.4220775802831266,0.6868756706577548,0.759711122497191,0.43933662514065697,-0.6226251430376105,-100.07697642163662,0,0.9227764938471522,-1.0,1.0920028686523438,1.8821810193708672
